region,location,name,population,pop_active_duty,pop_active_duty_fam,pop_civilian,pop_contract,pop_retired,pop_retired_fam,pop_resrv_ntgrd
CONUS,Kansas,McConnell AFB,"<div class=""section-text""><p>McConnell has a total workforce of 6,552, 3,250 active duty members, 915 civilians, 1900 Airmen in the 184th Kansas Air National Guard Intelligence Wing and in the 931st Air Refueling Group. The base also serves 3,090 family members and 9,000 retirees.</p></div>",3250,9000,915,NA,9000,NA,NA
CONUS,Kentucky,Fort Campbell,"<div class=""section-text"">
<p>Fort Campbell Population FY19</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Kentucky,Fort Knox,"<div class=""section-text"">
<p>Fort Knox has a daytime population of over 23,000 Soldiers, Family Members and civilian employees.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Kentucky,US Army Cadet Command 1st Brigade,"<div class=""section-text"">
<p>As of 2016, Fort Knox has a population of 10,240.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Kentucky,US Army Cadet Command 7th Brigade,"<div class=""section-text"">
<p>As of 2016 Fort Knox has a population of 10,240.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Kentucky,US Army Cadet Command Headquarters,"<div class=""section-text"">
<p>As of 2016 Fort Knox has a population of 10,240.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Kentucky,"USAREC, 3rd Medical Recruiting Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Kentucky,"USAREC, Columbus Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Louisiana,Barksdale Air Force Base,"<div class=""section-text""><ul>
<li>Active Duty and Reservists 6,510</li>
  <li>Family Members: 4,880</li>
  <li>Civilian Employees 2,420</li>
  <li>Retirees 40,000</li>
</ul></div> <br/> <div class=""section-text"">
<p>Bossier City, Louisiana 's estimated population is <strong>68,554</strong> according to the most recent United States census estimates. Bossier City, Louisiana is the 6th largest city in Louisiana based on official 2017 estimates from the US Census Bureau. The population density is 1591.52 people/mi² (614.49 people/km²), with a household density of 254.54 people/km² (659.25 people/mi²).</p>
</div>",6510,4880,2420,NA,40000,NA,6510
CONUS,Louisiana,Fort Polk,"<div class=""section-text""><ul>
<li>Active Duty: 7,815  Army</li>
  <li>Other Military: 193  Air Force/TDY</li>
  <li>Transient and Rotational: 5,770</li>
  <li>Active duty dependents: 12,137</li>
  <li>Civilian employees: 5,703</li>
  <li>Retired military and family: 14,408</li>
  <li>Retired DoD Civilians: 3,291</li>
</ul></div> <br/> <div class=""section-text"">
<p>Vernon Parish: 52,334</p>
</div>",20145,26545,8994,NA,3291,14408,NA
CONUS,Louisiana,Naval Air Station Joint Reserve Base New Orleans,"<div class=""section-text"">
<p>NAS JRB New Orleans community has a population of 9,800 service members and their families from the Navy, Marines, Air Force, Army, Coast Guard, and Louisiana Air National Guard, as well as civilian employees and retirees.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Maine,Portsmouth Naval Shipyard,"<div class=""section-text""><p>Portsmouth Naval Shipyard is home to approximately 1,000 naval officers/enlisted personnel and their family members. The Shipyard supports, on average, four submarine crews and their family members. Two Coast Guard Cutters are also homeported at PNSY. PNSY also provides services to a large retiree population. Portsmouth Naval Shipyard employees approximately 8,000 civilians.</p></div>",NA,NA,8000,NA,NA,NA,NA
CONUS,Maine,"USAREC, New England Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Maryland,Aberdeen Proving Ground,"<div class=""section-text""><ul>
<li>1,032 military</li>
  <li>1,381 family members</li>
  <li>19,518 civilians</li>
  <li>3,231 contractors</li>
  <li>16,000 military retirees and retiree family members</li>
</ul></div> <br/> <div class=""section-text"">
<p>Harford County: 250,025</p>
</div>",17032,1381,19518,3231,NA,16000,NA
CONUS,Maryland,Fort Detrick,"<div class=""section-text""><ul>
<li>1333  military/active duty</li>
  <li>8,466  civilians and contractors</li>
  <li>9,799  grand total for Fort Detrick and Forest Glen Campus</li>
</ul></div> <br/> <div class=""section-text""><p>Each branch of the U.S. military is represented at Fort Detrick totaling 9,799 military, federal employees, and contractors assigned here.</p></div>",9799,NA,NA,NA,NA,NA,NA
CONUS,Maryland,Fort George G. Meade,"<div class=""section-text"">
<p>Every day over 100,000 people seek the services Fort Meade has to offer.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Maryland,Fort George G. Meade - Navy,<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Maryland,Joint Base Andrews-Naval Air Facility Washington,"<div class=""section-text""><p>Joint Base Andrews Basics<br>First AF Flight: May 2, 1943<br>Total Force Strength: Approximately 14,000<br>Military (Active-duty, Guard, &amp; Reserve): Approximately 12,000<br>Civilians: Approximately 2,300<br>Economic Impact: Approximately $1.2 billion<br>Total Acreage: 6,853</p></div>",NA,NA,2300,NA,NA,NA,NA
CONUS,Maryland,Naval Air Station Patuxent River,"<div class=""section-text"">
<ul>
<li>2,400 active duty personnel </li>
  <li>4,500 family members</li>
  <li>9,800 federal employees</li>
  <li>5,700 defense contractors</li>
  <li>400 non-appropriated-fund employees</li>
</ul>
</div> <br/> <div class=""section-text""><p><span class=""ILfuVd c3biWd""><span class=""e24Kjd""><b>St</b>. <b>Mary's County</b>, <b>Maryland Population 2019</b>. <b>St</b>. <b>Mary's County</b>, <b>Maryland's</b> estimated <b>population</b> is 112,413 with a growth rate of 0.65% in the past year according to the most recent United States census data.</span></span></p></div>",2400,4500,9800,5700,NA,NA,NA
CONUS,Maryland,Naval Support Activity Annapolis  - U.S. Naval Academy,"<div class=""section-text""><ul>
<li>4,400 midshipmen</li>
  <li>580 faculty members (military and civilian)</li>
</ul></div> <br/> <div class=""section-text"">
<p>Annapolis, MD has a population of about 39,000 and around 6 million for the state of Maryland.</p>
</div>",NA,NA,580,NA,NA,NA,NA
CONUS,Maryland,Naval Support Activity Bethesda Home of Walter Reed National Military Medical Center,"<div class=""section-text"">
<p>NSAB has 12,000 active duty and civilian employees.</p>
</div>",12000,NA,12000,NA,NA,NA,NA
CONUS,Maryland,Naval Support Activity South Potomac (NSF Indian Head),"<div class=""section-text""><ul>
<li>
<strong><font color=""#767676"">Indian Head</font></strong>, MD has a <strong><font color=""#767676"">population</font></strong> of 3,879 and is the 7,581st largest city in the United States. The <strong><font color=""#767676"">population</font></strong> density is 3,149 per sq mi which is 564% higher than the Maryland average and 3376% higher than the national average.</li>
</ul></div> <br/> <div class=""section-text""><p><strong><font color=""#767676"">Indian Head</font></strong>, MD has a <strong><font color=""#767676"">population</font></strong> of 3,879 and is the 7,581st largest city in the United States. The <strong><font color=""#767676"">population</font></strong> density is 3,149 per sq mi which is 564% higher than the Maryland average and 3376% higher than the national average.</p></div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Maryland,"USAREC, 1st Medical Recruiting Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Maryland,"USAREC, Baltimore Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Massachusetts,Hanscom AFB,"<div class=""section-text"">
<p>Hanscom serves 125,000 people in a seven state region with over 300 GSU's.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Massachusetts,Natick Soldier Systems Center (NSSC),"<div class=""section-text""><p>Natick Soldier Systems Center employs approximately 120 active duty, 1,500 federal civil servants, and 250 civilian contractors.</p></div>",120,NA,1750,250,NA,NA,NA
CONUS,Massachusetts,Westover ARB,"<div class=""section-text""><p>439<sup><font size=""2"">th</font></sup> Airlift Wing has 2,200 military members assigned and 650 civilians employed; in addition, Westover ARB is host to multiple tenant military and civilian organizations, adding an additional 1,680 personnel increasing the grand total to 4,500 people working at Westover Air Reserve Base.</p></div>",650,NA,650,NA,NA,NA,NA
CONUS,Michigan,Hart-Dole-Inouye Federal Center,"<div class=""section-text"">
<p>The Hart-Dole-Inouye Federal Center (HDIFC) serves over 1,900 DoD civilian and military personnel: Defense Logistics Agency (DLA)-1738; Department of Homeland Security (DHS)-128; Department of Labor (DOL)-1; Army-4, General Services Agency (GSA)-67. Also, there are numerous contractors located in the HDIFC.  </p>
</div>",1900,NA,1900,NA,NA,NA,NA
CONUS,Michigan,USAG Detroit Arsenal,"<div class=""section-text""><ul>
<li>245 military</li>
  <li>8,403 civilians</li>
</ul></div> <br/> <div class=""section-text"">
<p>Warren's population is 135,125 ; Macomb County's population is <span class=""ILfuVd"">871,375.</span></p>
</div>",245,NA,8403,NA,NA,NA,NA
CONUS,Michigan,"USAREC, Great Lakes Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Minnesota,"USAREC, Minneapolis Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Mississippi,Columbus AFB,"<div class=""section-text""><p>Columbus AFB currently has a Total Force Strength of 2,697 personnel comprised of 1,201 civilian and 1,496 active/reserve military members (Jan 2020).</p></div>",2020,NA,1496,NA,NA,NA,2020
CONUS,Mississippi,Keesler AFB,"<div class=""section-text""><ul>
<li>Active Duty 7090</li>
  <li>Civil Service 3724</li>
  <li>Retirees 114,094</li>
  <li>Contractors 1,700 </li>
  <li>Family Members 3961</li>
</ul></div> <br/> <div class=""section-text"">
<p>Biloxi - 45,968</p>
</div>",7090,3961,3724,1700,114094,NA,NA
CONUS,Mississippi,Naval Air Station Meridian,"<div class=""section-text""><p>The total population served is approximately 3,000. There are eight Major Commands, as well as the Naval Operational Support Center (NOSC), and Regional Counterdrug Training Academy (RCTA).</p></div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Mississippi,Naval Construction Battalion Center Gulfport,"<div class=""section-text"">
<ul>
<li>4,451 active duty personnel and their families</li>
  <li>6,400 retirees and their families</li>
  <li>780 DoD Civilians</li>
</ul>
</div> <br/> <div class=""section-text"">
<p>Local area population is 231,523 in the Gulfport-Biloxi Metro Area  Gulfport, Mississippi's estimated population is 71,822 according to the most recent United States census estimates. Gulfport, Mississippi is the 2nd largest city in Mississippi based on official 2017 estimates from the US Census Bureau.</p>
</div>",4451,NA,780,NA,6400,NA,NA
CONUS,Mississippi,Stennis Space Center,"<div class=""section-text""><p>Special Boat Team 22, Naval Small Craft Instruction and Technical Training School, as well as other Navy tenants including Naval Meteorology &amp; Oceanography Command, Naval Oceanographic Office and U.S. Naval Research Lab, the Navy's corporate laboratory. SSC is also home to more than 30 resident agencies, which includes federal, state, academic and private organizations and numerous technology-based companies.</p></div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Missouri,Fort Leonard Wood,"<div class=""section-text""><ul>
<li>6,946 active duty</li>
  <li>12,183 family members</li>
  <li>3,825 DOA civilians</li>
  <li>5,702 other civilians</li>
  <li>12,322 in training</li>
  <li>55,170 Retirees/Family members </li>
</ul></div> <br/> <div class=""section-text"">
<p>Pulaski County: 52,274</p>
</div>",6946,12183,9527,NA,NA,55170,NA
CONUS,Missouri,"USAREC, Kansas City Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Missouri,Whiteman AFB,"<div class=""section-text"">
<p><strong>Whiteman estimated population:</strong></p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Montana,Malmstrom Air Force Base,"<div class=""section-text"">
<p>3,146 active duty; 3,137 family members; 619 AF civilian employees; 800 contractors.</p>
</div>",3146,619,800,619,NA,NA,NA
CONUS,Nebraska,Offutt AFB,"<div class=""section-text""><ul>
<li>Military - 8,319</li>
  <li>Dependents - 6,404</li>
  <li>DoD Civilians - 2,645</li>
  <li>Other Civilians - 1,196</li>
</ul></div> <br/> <div class=""section-text""><p>Omaha metro: 960,709; Bellevue: 53,627, Greater Bellevue Area: 82,000</p></div>",8319,6404,3841,NA,NA,NA,NA
CONUS,Nevada,Creech AFB,"<div class=""section-text"">
<p>There are approximately 3,000 military who work at Creech. Creech is supported by Nellis AFB, which is located approximately 50 minutes away, in the northeast corner of the Las Vegas valley.</p>
</div>",3000,NA,NA,NA,NA,NA,NA
CONUS,Nevada,Naval Air Station Fallon,"<div class=""section-text""><p>Over 3,000 active duty personnel, civilian employees and DoD contractors enjoy a high quality of life that is enhanced by the numerous facilities on base and by those within the surrounding areas.</p></div>",3000,NA,NA,NA,NA,NA,NA
CONUS,Nevada,Nellis AFB,"<div class=""section-text""><p>There are approximately 10,222 military and 3,187 civilians who work at Nellis. In addition, 11,589 family members are stationed here. On average there are over 1,200 temporary duty (TDY) personnel each day at Nellis, and over 8,000 official visitors annually.</p></div>",3187,11589,3187,NA,NA,NA,NA
CONUS,Nevada,"USAREC, 6th Medical Recruiting Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,New Jersey,Joint Base McGuire-Dix-Lakehurst,"<div class=""section-text"">
<p><strong> </strong></p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,New Jersey,Naval Weapons Station Earle,"<div class=""section-text"">
<p>Naval Weapons Station Earle servers over 2,000 military DoD civilians and families.</p>
</div>",2000,NA,2000,NA,NA,NA,NA
CONUS,New Jersey,Picatinny Arsenal,"<div class=""section-text"">
<ul>
<li>100 military</li>
  <li>254 family members</li>
  <li>6,000 civilian employees</li>
</ul>
</div> <br/> <div class=""section-text"">
<p>Morris County: 499,397</p>
</div>",100,254,6000,NA,NA,NA,NA
CONUS,New Jersey,US Army Cadet Command 2nd Brigade,"<div class=""section-text""><p>Fort Dix has a population of approximately 7,716.</p></div>",NA,NA,NA,NA,NA,NA,NA
CONUS,New Jersey,"USAREC, Mid-Atlantic Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,New Mexico,Cannon AFB,"<div class=""section-text""><ul>
<li>Active Duty: 4,719</li>
  <li>Family Members: 5,481</li>
  <li>Civilian: 620 (GS - 414/NAF - 206)</li>
  <li>Retirees: 5,980</li>
</ul></div> <br/> <div class=""section-text""><p>Clovis:37,775; Portales: 12,280</p></div>",4719,5481,620,NA,5980,NA,NA
CONUS,New Mexico,Holloman AFB,"<div class=""section-text""><p>Alamogordo's population is approximately 45,000 and ranked one of the best places to live.</p></div>",NA,NA,NA,NA,NA,NA,NA
CONUS,New Mexico,Kirtland Air Force Base,"<div class=""section-text"">
<p><span lang=""EN"" style='color: rgb(51, 51, 51); font-family: ""Arial"",sans-serif; font-size: 10pt; mso-ansi-language: EN;'>Population of Albuquerque, July 2018: 560, 218 people <span lang=""EN"" style='color: rgb(51, 51, 51); font-family: ""Arial"",sans-serif; font-size: 10pt; mso-ansi-language: EN;'> </span></span></p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,New Mexico,U.S. Army Garrison White Sands Missile Range,"<div class=""section-text"">
<p>Welcome to White Sands Missile Range (WSMR). Whether you are coming for a duty assignment or job, as a test customer or as a visitor, we hope you find your stay with us both worthwhile and enjoyable.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,New York,Fort Drum,"<div class=""section-text""><ul>
<li>13,859 Active duty</li>
  <li>18,613 Family members</li>
  <li>4,641 Civilians</li>
</ul></div> <br/> <div class=""section-text""><p>Watertown, NY: 26,118; Jefferson County: 110,059</p></div>",13859,18613,4641,NA,NA,NA,NA
CONUS,New York,Fort Hamilton,"<div class=""section-text"">
<p>Fort Hamilton is a combined community comprised of active duty Army, Navy, Air Force, Marines, Coast Guard, National Guard, Reserve Components.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,New York,Naval Support Activity Saratoga Springs,"<div class=""section-text"">
<p>NSA Saratoga Springs serves an active duty population of approximately 3,000.</p>
</div>",3000,NA,NA,NA,NA,NA,NA
CONUS,New York,"USAREC, Albany Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,New York,"USAREC, New York City Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,New York,"USAREC, Syracuse Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,New York,United States Military Academy at West Point,"<div class=""section-text"">
<p>The West Point student body numbers approximately 4,300. In addition to the Corps of Cadets, West Point is home to approximately 1,200 active duty soldiers and approximately 3,000 family members. Supporting the mission of the Academy is a civilian workforce of approximately 5,000 personnel.</p>
</div>",3000,3000,5000,NA,NA,NA,NA
CONUS,North Carolina,Camp Lejeune,"<div class=""section-text"">
<ul>
<li>Active Duty 37,350</li>
  <li>Family Members 38,769</li>
  <li>Civilian 5,737</li>
  <li>Retirees and Family Members 18,719</li>
</ul>
<p>Housing values have changed to an average of $154,900</p>
</div>",37350,57488,5737,NA,NA,18719,NA
CONUS,North Carolina,Fort Bragg,"<div class=""section-text""><ul>
<li>52,280 active duty Soldiers</li>
  <li>12,624 Reserve Components and Temporary Duty students</li>
  <li>8,757 civilian employees</li>
  <li>3,516  Contractors</li>
  <li>62,962 active duty family members</li>
  <li>98,507 Army retirees and family members in the area</li>
</ul></div> <br/> <div class=""section-text"">
<p>Fayetteville Metro Area: 200,564</p>
</div>",52280,62962,8757,NA,98507,NA,12624
CONUS,North Carolina,MCAS Cherry Point,"<div class=""section-text""><ul>
<li>9,033 Active Duty personnel</li>
  <li>26,374 Family Members</li>
  <li>5,164 Civilian Employees</li>
  <li>12,810 Retirees</li>
</ul></div> <br/> <div class=""section-text""><p>Havelock 22,500 according to documentation provided by the City of Havelock.</p></div>",9033,26374,5164,NA,12810,NA,NA
CONUS,North Carolina,MCAS New River,"<div class=""section-text"">
<p>196,830 in the nearby community of Jacksonville, NC.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,North Carolina,Pope Army Airfield,"<div class=""section-text""><ul>
<li>2,500 active duty/full-time reservist/civilians (approximately)</li>
  <li>4,235 family members</li>
  <li>945 civilians</li>
</ul></div> <br/> <div class=""section-text""><p>Fayetteville metro: 398,940</p></div>",2500,4235,945,NA,NA,NA,2500
CONUS,North Carolina,Seymour Johnson AFB,"<div class=""section-text"">
<ul>
<li>4,600 active duty</li>
  <li>6,000 family members</li>
  <li>1,000 civilians</li>
  <li>882 reservists</li>
</ul>
</div> <br/> <div class=""section-text"">
<p>Goldsboro: 37,639</p>
</div>",4600,6000,1000,NA,NA,NA,882
CONUS,North Carolina,US Army Cadet Command 4th Brigade,"<div class=""section-text"">
<p>As of the last Census (2010), Fort Bragg North Carolina had a population of 39,457.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,North Carolina,"USAREC, Raleigh Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,North Dakota,Grand Forks AFB,"<div class=""section-text"">
<p> Grand Forks Air Force Base provides base operating and direct operational support to wing personnel and tenant units. Grand Forks Air Force Base also provide logistics, medical, civil engineer, contracting, communications, security and force support functions, and maintain facilities and equipment in support of Air Expeditionary Force and combatant commander requirements. Additionally we provide facilities and equipment support for the base's hosted units including the following;</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,North Dakota,Minot AFB,"<div class=""section-text"">
<p>Minot Air Force Base</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Ohio,Defense Supply Center Columbus,"<div class=""section-text""><p>The DSCC population is 7,446, military, civilians and contractors (2019).</p></div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Ohio,"USAREC, Cleveland Battalion","<div class=""section-text""><p>The <a href=""http://www.usarec.army.mil/3rdbde/5cbn"">Cleveland Battalion</a> area consists of 25,055.8 square miles and 54+ counties of a combination of Urban, Suburban and Rural areas. The battalion is currently comprised of 7 recruiting companies. The battalion headquarters is located in Downtown Cleveland. The telephone number is 216-482-3555.</p></div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Ohio,"USAREC, Columbus Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Ohio,Wright-Patterson AFB,"<div class=""section-text"">
<p>The base has a workforce numbering approximately 30,000 people; 7000 active duty and nearly 13,000 civilians. 90,000 retirees within a 100 mile radius also use the services offered by WPAFB.</p>
</div>",13000,NA,13000,NA,100,NA,NA
CONUS,Oklahoma,Altus AFB,"<div class=""section-text""><p>Approximately 5,000 military members, family members, civilian members and retirees.</p></div>",5000,NA,NA,NA,NA,NA,NA
CONUS,Oklahoma,Fort Sill,"<div class=""section-text"">
<p>Fort Sill is a large installation. The total population in Fort Sill is about 53,000 including, 20,000 military and civilian personnel, and 33,000 military family members. There is a robust retiree community that is supported by Fort Sill.</p>
</div>",NA,33000,20000,NA,NA,NA,NA
CONUS,Oklahoma,McAlester Army Ammunition Plant,"<div class=""section-text""><p>McAlester Army Ammunition Plant currently has 1865 civilian personnel, 4 military personnel, area veterans, Army Reserve and National Guard.</p></div>",NA,NA,1865,NA,NA,NA,NA
CONUS,Oklahoma,Tinker AFB,"<div class=""section-text""><p>Oklahoma City Metro: 1,373,211</p></div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Oklahoma,"USAREC, Oklahoma City Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Oklahoma,Vance AFB,"<div class=""section-text""><p>Vance has about 1,200 active duty and Reserve military, as well as more than 1,100 family members living in the local area. The base also employs almost 1,300 Federal civilian employees, non-appropriated fund civilian employees, contractors and private business employees. There are an estimated 2,200 retired military members in the local area.</p></div>",1200,1100,1300,NA,2200,NA,1200
CONUS,Oregon,"USAREC, Portland Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Pennsylvania,Carlisle Barracks,"<div class=""section-text""><ul>
<li>667 Active Duty</li>
  <li>1,693 Family members</li>
  <li>1,299 Civilians</li>
  <li>51,357 Military Retirees</li>
  <li>53,039 Military Retired Family Members</li>
</ul></div> <br/> <div class=""section-text"">
<p>Harrisburg-Carlisle Metro Area's population is 528,892.</p>
</div>",105063,1693,1299,NA,51357,53039,NA
CONUS,Pennsylvania,Defense Logistics Agency at Susquehanna,"<div class=""section-text"">
<p>Population assigned or attached to DDC include:</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Pennsylvania,Tobyhanna Army Depot,"<div class=""section-text""><ul>
<li>29 military</li>
  <li>2,877 civilians (including NAF)</li>
  <li>966 contractors and tenants</li>
  <li>7,800 National Guard and Reserve and their families</li>
</ul></div> <br/> <div class=""section-text"">
<p>Monroe County: 168.046</p>
</div>",NA,NA,2877,966,NA,NA,7800
CONUS,Pennsylvania,"USAREC, Harrisburg Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Rhode Island,Naval Station Newport,"<div class=""section-text"">
<ul>
<li>Officers: 486</li>
  <li>Enlisted: 685</li>
  <li>Reservists: 1,030</li>
  <li>Civilians: 4,040</li>
  <li>Contractors: 2,798</li>
  <li>Student Average On Board: 2,068</li>
  <li>Student Annual Throughput: 17,000</li>
</ul>
<p>There are 486 Officers, 685 Enlisted, 1,030 Reservists, 4,044 Civilians and 2,798 Contractors working at Newport. Average onboard students are 2,068, with an annual throughput of 17,000. Total personnel is 11,111.</p>
</div>",NA,NA,6838,2798,NA,NA,1030
CONUS,South Carolina,Fort Jackson,"<div class=""section-text""><ul>
<li>3,500 Permanent Party Soldiers and their 12,000 Family Members </li>
  <li>48,000 Initial Entry Training Soldiers</li>
  <li>12,000 Advanced Individual Training Soldiers</li>
  <li>3,500 Civilians Employees </li>
  <li>10,000 Students attending courses annually </li>
  <li>46,000 Retirees and Family Members</li>
</ul></div> <br/> <div class=""section-text""><p><span><span data-bm=""114"">Columbia is the capital and second largest city of the U.S. state of South Carolina, with a population estimate of 133,451 as of 2018. The city serves as the county seat of Richland County, and a portion of the city extends into neighboring Lexington County.  It is the center of the Columbia metropolitan statistical area, which had a population of 767,598 as of the 2010 United States Census, growing to 832,666 by July 1, 2018, according to 2018 U.S. Census estimates.  The name Columbia is a poetic term used for the United States, originating from the name of Christopher Columbus.  The city is located approximately 13 miles (21 km) northwest of the geographic center of South Carolina, and is the primary city of the Midlands region of the state.  It lies at the confluence of the Saluda River and the Broad River, which merge at Columbia to form the Congaree River.  Columbia is home to the University of South Carolina, the state's flagship university and the largest in the state, and is also the site of Fort Jackson, the largest United States Army installation for Basic Combat Training.  Columbia is also located 20 miles west of the site of McEntire Joint National Guard Base, which is operated by the U.S. Air National Guard.  Columbia is also the location of the South Carolina State House, which is the center of government for the state.  In 1860, the city was the location of the South Carolina Secession Convention, which marked the departure of the first state from the Union in the events leading up to the Civil War.</span></span></p></div>",63500,12000,3500,NA,46000,NA,NA
CONUS,South Carolina,Joint Base Charleston,"<div class=""section-text"">
<p>Est. Population:</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,South Carolina,Joint Base Charleston ,"<div class=""section-text"">
<p>Est. Population:</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,South Carolina,MCAS Beaufort,"<div class=""section-text"">
<p>Beaufort 13,357</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,South Carolina,MCRD Parris Island,"<div class=""section-text"">
<p>Beaufort 13,357</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,South Carolina,Shaw Air Force Base,"<div class=""section-text""><ul>
<li>7,140 active duty</li>
  <li>14,000 family members</li>
  <li>730 civilians</li>
</ul></div> <br/> <div class=""section-text"">
<p>Sumter Metro:107,456; Columbia: 99,353</p>
</div>",7140,14000,730,NA,NA,NA,NA
CONUS,South Carolina,"USAREC, Columbia Recruiting Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,South Dakota,Ellsworth Air Force Base,"<div class=""section-text""><ul>
<li>Active Duty 3,000</li>
  <li>Family Members 1,700</li>
  <li>Retirees 3,800</li>
  <li>Civilians 500</li>
</ul></div> <br/> <div class=""section-text"">
<p>Ellsworth's two sister cities are Box Elder, whose population is close to 9,400, and Rapid City, whose population is over 74,000.</p>
</div>",3000,1700,500,NA,3800,NA,NA
CONUS,Tennessee,Arnold AFB,"<div class=""section-text""><p>Arnold AFB employs approximately 43 active duty, 320 federal civil servants, 55 NAF personnel and 1,700 civilian contractors.  At peak levels, Arnold AFB employs as many as 2,600 personnel.</p></div>",NA,NA,2020,1700,NA,NA,NA
CONUS,Tennessee,Naval Support Activity Mid-South,"<div class=""section-text"">
<p>NSA Mid-South has about 7,500 enlisted and officer personnel, civilians, and full-time contract personnel. </p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Tennessee,"USAREC, Nashville Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Texas,Dyess AFB,"<div class=""section-text""><ul>
<li>Active Duty - 4,369</li>
  <li>Civilian Employees - 715</li>
  <li>Dependents - 5,101</li>
  <li>Retirees - 3,579</li>
</ul></div> <br/> <div class=""section-text""><p>(2018) City of Abilene population is 122,999, and Taylor County population is 137,640.</p></div>",4369,5101,715,NA,3579,NA,NA
CONUS,Texas,Fort Bliss,"<div class=""section-text""><ul>
<li>35,240 Total Military</li>
  <li>37,373 Family Members</li>
  <li>12,096 Civilians</li>
  <li>32,984 Retirees</li>
  <li>39,018 Family Members Retirees</li>
  <li>8,448 Survivors of Retirees</li>
  <li>678 Survivors of Active Duty</li>
  <li>Total Population Supported 165,867</li>
</ul></div> <br/> <div class=""section-text""><p>El Paso: 840,758</p></div>",35918,76391,12096,NA,41432,39018,NA
CONUS,Texas,Fort Hood,"<div class=""section-text""><ul>
<li>39,865 active duty military</li>
  <li>386,193 retirees, survivors and family members</li>
  <li>12,895 civilians and contractors</li>
</ul></div> <br/> <div class=""section-text""><p>Killeen-Temple-Fort Hood Metro Area: 477,686 on average</p></div>",39865,NA,12895,12895,386193,NA,NA
CONUS,Texas,Goodfellow AFB,"<div class=""section-text"">
<p>Goodfellow AFB is a joint service base that trains over 13,000 students a year from all services. At any given time, we have over 5,100 Military, civilians, students, and contractors on the installation.</p>
</div>",5100,NA,NA,NA,NA,NA,NA
